source_file,output_file,part,total_parts,word_count,first_label,last_label,mode
/home/mark/MisfitCrew/ALL_REPORTS/reviews/NotebookLM_split/a_course_in_miracles_text_review.md,/home/mark/MisfitCrew/ALL_REPORTS/reviews/NotebookLM_split/notebooklm_ready/a_course_in_miracles_text_review/a_course_in_miracles_text_review_part_001_of_002.md,1,2,444709,Report 1,Report 339,report-boundary
/home/mark/MisfitCrew/ALL_REPORTS/reviews/NotebookLM_split/a_course_in_miracles_text_review.md,/home/mark/MisfitCrew/ALL_REPORTS/reviews/NotebookLM_split/notebooklm_ready/a_course_in_miracles_text_review/a_course_in_miracles_text_review_part_002_of_002.md,2,2,218259,Report 340,Report 506,report-boundary
/home/mark/MisfitCrew/ALL_REPORTS/reviews/NotebookLM_split/a_dweller_on_two_planets_review.md,/home/mark/MisfitCrew/ALL_REPORTS/reviews/NotebookLM_split/notebooklm_ready/a_dweller_on_two_planets_review/a_dweller_on_two_planets_review_part_001_of_002.md,1,2,444879,Report 1,Report 318,report-boundary
/home/mark/MisfitCrew/ALL_REPORTS/reviews/NotebookLM_split/a_dweller_on_two_planets_review.md,/home/mark/MisfitCrew/ALL_REPORTS/reviews/NotebookLM_split/notebooklm_ready/a_dweller_on_two_planets_review/a_dweller_on_two_planets_review_part_002_of_002.md,2,2,177445,Report 319,Report 466,report-boundary
/home/mark/MisfitCrew/ALL_REPORTS/reviews/NotebookLM_split/bashar_channeled_by_darryl_anka_complete_transcripts_review.md,/home/mark/MisfitCrew/ALL_REPORTS/reviews/NotebookLM_split/notebooklm_ready/bashar_channeled_by_darryl_anka_complete_transcripts_review/bashar_channeled_by_darryl_anka_complete_transcripts_review_part_001_of_010.md,1,10,445077,Report 1,Report 344,report-boundary
/home/mark/MisfitCrew/ALL_REPORTS/reviews/NotebookLM_split/bashar_channeled_by_darryl_anka_complete_transcripts_review.md,/home/mark/MisfitCrew/ALL_REPORTS/reviews/NotebookLM_split/notebooklm_ready/bashar_channeled_by_darryl_anka_complete_transcripts_review/bashar_channeled_by_darryl_anka_complete_transcripts_review_part_002_of_010.md,2,10,445468,Report 345,Report 702,report-boundary
/home/mark/MisfitCrew/ALL_REPORTS/reviews/NotebookLM_split/bashar_channeled_by_darryl_anka_complete_transcripts_review.md,/home/mark/MisfitCrew/ALL_REPORTS/reviews/NotebookLM_split/notebooklm_ready/bashar_channeled_by_darryl_anka_complete_transcripts_review/bashar_channeled_by_darryl_anka_complete_transcripts_review_part_003_of_010.md,3,10,445628,Report 703,Report 1058,report-boundary
/home/mark/MisfitCrew/ALL_REPORTS/reviews/NotebookLM_split/bashar_channeled_by_darryl_anka_complete_transcripts_review.md,/home/mark/MisfitCrew/ALL_REPORTS/reviews/NotebookLM_split/notebooklm_ready/bashar_channeled_by_darryl_anka_complete_transcripts_review/bashar_channeled_by_darryl_anka_complete_transcripts_review_part_004_of_010.md,4,10,445644,Report 1059,Report 1406,report-boundary
/home/mark/MisfitCrew/ALL_REPORTS/reviews/NotebookLM_split/bashar_channeled_by_darryl_anka_complete_transcripts_review.md,/home/mark/MisfitCrew/ALL_REPORTS/reviews/NotebookLM_split/notebooklm_ready/bashar_channeled_by_darryl_anka_complete_transcripts_review/bashar_channeled_by_darryl_anka_complete_transcripts_review_part_005_of_010.md,5,10,444690,Report 1407,Report 1755,report-boundary
/home/mark/MisfitCrew/ALL_REPORTS/reviews/NotebookLM_split/bashar_channeled_by_darryl_anka_complete_transcripts_review.md,/home/mark/MisfitCrew/ALL_REPORTS/reviews/NotebookLM_split/notebooklm_ready/bashar_channeled_by_darryl_anka_complete_transcripts_review/bashar_channeled_by_darryl_anka_complete_transcripts_review_part_006_of_010.md,6,10,444773,Report 1756,Report 2099,report-boundary
